department_id,department_name,ministry_id,ministry_name,jurisdiction,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
1408,Department of Military Affairs,28,Ministry of Defence,CENTRAL,485,3,1,0,0,2026-08-19 21:27:46.416153
20,Legislative Department,3,Ministry of Law and Justice,CENTRAL,2225,3,1,0,0,2026-08-19 21:27:46.416797
479,Language,88,NO MINISTRY,STATE,15,12,4,0,0,2026-08-19 21:27:42.542028
1466,"Industries, Energy and Labour Department",166,Govt of Maharashtra,STATE,466,0,0,0,0,2026-08-19 21:27:46.300669
1051,Registrar of Cooperative Societies,82,NO MINISTRY,STATE,9,6,2,0,0,2026-08-19 21:27:38.241204
1520,Rural Development and Water conservation Department,166,Govt of Maharashtra,STATE,201,6,2,0,0,2026-08-19 21:27:46.130515
855,Law and Judiciary Department,166,Govt of Maharashtra,STATE,623,12,4,0,0,2026-08-19 21:27:46.393316
644,Rural Development and Panchayati Raj,69,NO MINISTRY,UNION_TERRITORY,89,0,0,0,0,2026-08-19 21:27:46.414938
104,EXCISE AND TAXTATION,67,NO MINISTRY,STATE,410,18,5,1,0,2026-08-19 21:27:46.332733
858,Finance Department,166,Govt of Maharashtra,STATE,1109,9,3,0,0,2026-08-19 21:27:46.416153
1477,Urban Development Department,166,Govt of Maharashtra,STATE,859,0,0,0,0,2026-08-19 21:27:46.395244
1139,Revenue Department,83,NO MINISTRY,STATE,815,3,1,0,0,2026-08-19 21:27:46.286651
737,COMMERCIAL TAXES DEPARTMENT,59,NO MINISTRY,STATE,357,9,3,0,0,2026-08-19 21:27:46.392662
801,Directorate of Agricultural Marketing,64,NO MINISTRY,UNION_TERRITORY,6,3,1,0,0,2026-08-19 21:27:35.713561
1468,Medical Education and Drugs Department,166,Govt of Maharashtra,STATE,353,0,0,0,0,2026-08-19 21:27:46.416797
36,Department of Personnel and Training,26,"Ministry of Personnel, Public Grievances and Pensions",CENTRAL,308,3,1,0,0,2026-08-19 21:27:46.414298
1465,Housing Department,166,Govt of Maharashtra,STATE,353,0,0,0,0,2026-08-19 21:27:46.416797
625,Cooperatives Department,69,NO MINISTRY,UNION_TERRITORY,140,0,0,0,0,2026-08-19 21:27:46.416153
53,Department of Youth Affairs,34,Ministry of Youth Affairs and Sports,CENTRAL,61,0,0,0,0,2026-08-19 21:27:45.800648
1182,DEPARTMENT OF LABOUR,61,State Government,STATE,72,3,1,0,0,2026-08-19 21:27:46.393973
13,Department of Health and Family Welfare,12,Ministry of Health and Family Welfare,CENTRAL,861,3,0,1,0,2026-08-19 21:27:46.416153
1463,Higher and Technical Education Department,166,Govt of Maharashtra,STATE,598,0,0,0,0,2026-08-19 21:27:46.414938
642,General Administration Department,69,NO MINISTRY,UNION_TERRITORY,23,0,0,0,0,2026-08-19 21:27:42.542028
